movie_id,genre_id
561,28
562,28
562,53
563,12
563,28
563,53
563,878
564,12
564,14
564,28
565,27
565,9648
567,18
567,53
567,9648
568,18
568,36
571,27
571,53
578,12
578,27
578,53
581,12
581,18
581,37
582,18
582,53
583,35
585,16
585,35
585,10751
587,12
587,14
587,18
588,27
588,9648
590,18
591,53
591,9648
593,18
593,878
593,9648
594,18
594,35
595,18
597,18
597,10749
598,18
598,80
599,18
600,18
600,10752
601,12
601,14
601,878
601,10751
602,12
602,28
602,878
603,28
603,878
604,12
604,28
604,53
604,878
605,12
605,28
605,53
605,878
607,12
607,28
607,35
607,878
608,28
608,35
608,878
609,27
612,18
612,28
612,36
612,53
613,18
613,36
613,10752
615,18
616,18
616,28
616,10752
617,18
617,53
617,9648
619,18
619,28
619,10749
620,14
620,35
621,35
621,10749
622,27
622,53
622,9648
624,12
624,18
627,18
627,80
628,14
628,18
628,27
629,18
629,53
629,80
630,12
630,14
630,10751
634,18
634,35
634,10749
635,27
635,9648
637,18
637,35
638,18
638,53
638,9648
639,18
639,35
639,10749
640,18
640,80
641,18
641,80
642,12
642,18
642,36
642,37
642,80
644,12
644,18
644,878
646,12
646,28
646,53
650,18
650,80
651,18
651,35
651,10752
652,28
652,36
652,10752
653,14
653,27
655,18
657,12
657,28
657,53
658,12
658,28
658,53
659,18
659,36
659,10752
660,12
660,28
660,53
663,27
663,53
663,80
664,12
664,18
664,28
665,12
665,18
665,36
667,12
667,28
667,53
668,12
668,28
668,53
670,18
670,28
670,53
670,9648
671,12
671,14
672,12
672,14
673,12
673,14
674,12
674,14
675,12
675,14
676,28
676,36
676,10749
676,10752
679,28
679,53
679,878
680,35
680,53
680,80
682,12
682,28
682,53
686,18
686,878
686,9648
688,18
688,10749
691,12
691,28
691,53
693,35
693,10749
694,27
694,53
698,12
698,28
698,53
698,878
699,12
699,28
699,53
700,12
700,28
700,53
702,18
702,53
707,12
707,28
707,53
709,12
709,28
709,53
710,12
710,28
710,53
712,18
712,35
712,10749
714,12
714,28
714,53
744,18
744,28
744,10749
745,18
745,53
745,9648
746,18
746,36
747,27
747,35
752,28
752,53
752,878
754,28
754,80
754,878
755,27
755,28
755,53
755,80
756,14
756,16
756,10751
762,12
762,14
762,35
763,27
763,35
764,27
765,14
765,27
765,35
766,14
766,27
766,35
767,12
767,14
769,18
769,80
770,18
770,10749
770,10752
772,12
772,35
772,10751
773,18
773,35
782,53
782,878
782,9648
782,10749
786,18
786,10402
787,18
787,28
787,35
787,53
788,18
788,35
788,10751
792,18
792,28
792,10752
793,53
793,80
793,9648
795,14
795,18
795,10749
796,18
796,10749
802,18
802,35
803,36
803,99
804,18
804,35
804,10749
805,18
805,27
805,53
807,53
807,80
807,9648
808,12
808,14
808,16
808,35
808,10751
809,14
809,16
809,35
809,10749
809,10751
810,12
810,14
810,16
810,35
810,10751
812,12
812,14
812,16
812,10749
812,10751
813,35
814,27
814,35
817,12
817,35
817,80
818,35
818,80
819,18
819,53
819,80
820,18
820,36
820,53
824,18
824,10402
824,10749
829,53
829,80
829,9648
834,14
834,28
834,53
837,27
837,878
837,9648
838,18
838,35
839,28
839,53
839,10770
840,18
840,878
841,12
841,28
841,878
843,18
843,10749
846,53
846,878
846,9648
847,12
847,14
847,28
849,12
849,14
849,28
849,878
853,36
853,10752
854,14
854,35
854,80
854,10749
855,28
855,36
855,10752
856,14
856,16
856,35
856,80
857,18
857,36
857,10752
858,18
858,35
858,10749
859,18
859,10749
860,18
860,53
860,878
861,12
861,28
861,878
862,12
862,16
862,35
862,10751
863,16
863,35
863,10751
864,12
864,18
864,35
865,28
865,53
865,878
867,18
867,53
869,12
869,28
869,53
869,878
871,12
871,18
871,28
871,878
872,35
872,10749
879,12
